last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
,05:04.5,,9/3/03,,un-sc-sanctions.111074,MOHAMMAD ESSA,Alhaj,un-sc-sanctions,Taliban (TAi.060),individual,"Minister of Water, Sanitation and Electricity under the Taliban
            regime",1/25/01,محمد عیسی آخوند,,,"Belongs to Nurzai tribe. Review pursuant to Security Council resolution
            1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427423",AKHUND,32:52.8
,05:05.3,TALI,4/15/14,,un-sc-sanctions.2962519,IBRAHIM,,un-sc-sanctions,Al-Qaida (QDi.291),individual,,3/24/11,إبراهيم حسن طالع العسيري,,,"Operative and principal bomb maker of Al-Qaida in the Arabian Peninsula
            (AQAP) (QDe.129). Believed to be hiding in Yemen as at Mar. 2011. Wanted by Saudi
            Arabia. Also associated with Nasir 'abd-al-Karim 'Abdullah Al-Wahishi (QDi.274), Qasim
            Yahya Mahdi al-Rimi (QDi.282), and Anwar Nasser Abdulla Al-Aulaqi (QDi.283). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4471886",HASSAN,32:54.2
,05:07.8,HASSAN,,,un-sc-sanctions.6908059,MUZAHIM,,un-sc-sanctions,Iraq (IQi.012),individual,,6/27/03,مزاحم صعب حسن التكريتي,,,,SA'B,33:02.3
,05:07.9,HUSSEIN,,,un-sc-sanctions.6908104,RAGHAD,,un-sc-sanctions,Iraq (IQi.057),individual,,4/7/04,رغد صدام حسين التكريتي,,,,SADDAM,33:02.1
,05:05.5,BEN SALEM,11/26/04,,un-sc-sanctions.111857,FETHI,,un-sc-sanctions,Al-Qaida (QDi.160),individual,,3/17/04,فتحي بن حسن بن سالم الحداد,,,"Italian Fiscal Code: HDDFTH63H28Z352V. Review pursuant to Security
            Council resolution 1822 (2008) was concluded on 30 Jul. 2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1417054",BEN HASSEN,33:00.0
,05:06.9,KHALIFA,,,un-sc-sanctions.6908077,AYAD,,un-sc-sanctions,Iraq (IQi.030),individual,,6/27/03,عياد فتيح خليفة الراوي,,,,FUTAYYIH,33:02.6
,05:09.4,SAKR,,,un-sc-sanctions.6908097,UGLA,,un-sc-sanctions,Iraq (IQi.050),individual,,6/27/03,عكلة عبد صكر القبيسي,,,,ABID,33:06.2
,05:14.4,GHARIB,,,un-sc-sanctions.6908094,FADIL,,un-sc-sanctions,Iraq (IQi.047),individual,,6/27/03,فاضل محمود غريب,,,,MAHMUD,33:10.2
,05:04.8,AKHUND,5/18/12,,un-sc-sanctions.2981821,MOHAMMAD,,un-sc-sanctions,Taliban (TAi.158),individual,,1/6/12,محمد امان آخوند,,,"Senior Taliban member as at 2011 with financial duties, including raising
            funds on behalf of the leadership. Has provided logistical support for Taliban
            operations and channeled proceeds from drug trafficking to arms purchases. Has acted as
            secretary to Taliban leader Mullah Mohammed Omar (TAi.004) and as his messenger at
            senior-level meetings of the Taliban. Also associated with Gul Agha Ishakzai (TAi.147).
            Member of Mullah Mohammed Omar’s (TAi.004) inner circle during the Taliban
            regime. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4665005",AMAN,32:51.8
,05:07.2,AL-MAJID,,,un-sc-sanctions.6908052,ALI,,un-sc-sanctions,Iraq (IQi.005),individual,,6/27/03,علي حسن المجيد التكريتي,,,,HASSAN,33:03.9
,05:07.8,,,,un-sc-sanctions.6908117,NIDAL,,un-sc-sanctions,Iraq (IQi.070),individual,,4/7/04,نضال الربيعي,,,,AL-RABI'I,33:02.6
,05:03.4,,12/17/14,,un-sc-sanctions.110444,AZIM,,un-sc-sanctions,Iran (IRi.003),individual,"Member of the IRGC-Qods Force operating under the direction of Qods
            Force Commander, Major General Qasem Soleimani, who was designated by the UN Security
            Council in resolution 1747 (2007)",4/18/12,AZIM AGHAJANI,,,"Facilitated a breach of paragraph 5 of resolution 1747 (2007) prohibiting
            the export of arms and related materiel from Iran. [Old Reference #
            I.AC.50.18.04.12.(1)]",AGHAJANI,32:58.6
,05:04.3,IBRAHIM,,,un-sc-sanctions.6908400,ABDUL MOHSEN,,un-sc-sanctions,Al-Qaida (QDi.324),individual,,8/15/14,ABDUL MOHSEN ABDALLAH IBRAHIM,,,"A long time facilitator and financier for Al-Qaida (QDe.004), appointed as a regional leader of Jabhat al-Nusrah, listed as Al-Nusrah Front for the People of the Levant (QDe.137). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5809944",ABDALLAH,32:51.9
,05:05.5,SHUKOOR,9/3/03,,un-sc-sanctions.111148,AHMAD JAN,Maulavi,un-sc-sanctions,Taliban (TAi.109),individual,"Governor of Zabol and Uruzgan Provinces under the Taliban
                regime",1/25/01,احمد جان آخوند زاده شكور آخوند زاده,,,"Taliban member responsible for Uruzgan Province, Afghanistan, as at early
            2007. Brother-in-law of Mullah Mohammed Omar (TAi.004). Believed to be in
            Afghanistan/Pakistan border area. Review pursuant to Security Council resolution 1822
            (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4706028",AKHUNDZADA,32:55.1
,05:07.2,ZIMIN,,,un-sc-sanctions.6908469,ABD AL-AZIZ,,un-sc-sanctions,Al-Qaida (QDi.379),individual,,9/21/15,عبدالعزیز عدي زمین الفضیل,,,"Kuwait-based facilitator who provides financial services to, or in support of, Al-Nusrah Front for the People of the Levant (QDe.137) and Al-Qaida in the Arabian Peninsula (AQAP) (QDe.129). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5896797",ADAY,32:59.2
,05:09.9,AWEYS,,,un-sc-sanctions.6908034,HASSAN,,un-sc-sanctions,Somalia (SOi.002),individual,,4/12/10,HASSAN DAHIR AWEYS,,, INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5774682,DAHIR,33:05.9
,05:05.5,AL-ANABI,,,un-sc-sanctions.6908537,ABU UBAYDAH,,un-sc-sanctions,Al-Qaida (QDi.389),individual,,2/29/16,ABU UBAYDAH YUSUF AL-ANABI,,,A leader of the Organization of Al-Qaida in the Islamic Maghreb (AQIM) (QDe.014). Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5930738,YUSUF,32:55.7
,05:08.7,AL-ZINDANI,7/25/06,,un-sc-sanctions.111924,ABD-AL-MAJID,Sheikh,un-sc-sanctions,Al-Qaida (QDi.156),individual,,2/27/04,عبد المجيد عزيز الزنداني,,,"Review pursuant to Security Council resolution 1822 (2008) was concluded
            on 2 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1423688",AZIZ,33:04.6
,05:09.0,AMIN,,,un-sc-sanctions.6908081,HUSAM,,un-sc-sanctions,Iraq (IQi.034),individual,,6/27/03,حسام محمد أمين الياسين,,,,MUHAMMAD,33:04.0
